"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1893729455157244084","Sun Feb 23 18:36:23 +0000 2025","0","@kenafricx21 Unaijua Manchester united anko?","1893731646622376172","","kenafricx21","it","","0","1","0","https://x.com/kasimuabuu98/status/1893731646622376172","1531168792507736064","kasimuabuu98"
"1893730064111382764","Sun Feb 23 18:30:05 +0000 2025","0","Unomudi mkomana ano support Manchester United ne City","1893730064111382764","","","it","","0","0","0","https://x.com/Suavefloew/status/1893730064111382764","1867144816875692032","Suavefloew"
"1893728569970335962","Sun Feb 23 18:24:09 +0000 2025","0","Il Manchester United è la dimostrazione per cui al Milan non basta spendere soldi bisogna anche avere una società dietro che sia vicino alla squadra se no faremmo la loro fine ma qui la colpa è solo dei giocatori e allenatore il problema sta a monte","1893728569970335962","","","it","Friuli-Venezia Giulia","0","0","0","https://x.com/Redblack100x100/status/1893728569970335962","2333536199","Redblack100x100"
"1893723464587964540","Sun Feb 23 18:03:52 +0000 2025","0","Manchester United é DECIMO QUINTO colocado da Premier League","1893723464587964540","","","it","Rua Mariano Procópio, 37","0","0","0","https://x.com/Leorz8/status/1893723464587964540","170414429","Leorz8"
"1893676632679821535","Sun Feb 23 17:35:31 +0000 2025","0","@JMariotz @miguuyamjeruman Manchester United usiseme kidogo ni unaiongelea sana","1893716329099624535","","JMariotz","it","","0","0","0","https://x.com/NovatyM27250/status/1893716329099624535","1699834656340996096","NovatyM27250"
"1893705301603278935","Sun Feb 23 17:01:15 +0000 2025","1","@OPlebeuDoSCCP Manchester United riu disso","1893707708026507467","","OPlebeuDoSCCP","it","na puta que o pariu","0","1","0","https://x.com/kakafodastico/status/1893707708026507467","1731329560078065664","kakafodastico"
"1893687615397704086","Sun Feb 23 16:04:51 +0000 2025","0","@Laudantes Devi avere pure un allenatore che approva. Invece voleva il giocattolino dal manchester united. Bloccandoci il mercato.","1893693512530502084","","Laudantes","it","","0","0","0","https://x.com/NapoliVertical/status/1893693512530502084","1297242568728641540","NapoliVertical"
"1893654008830607541","Sun Feb 23 13:27:52 +0000 2025","0","Ma Bonera cosa deve fare per essere cacciato? Il Milan in quanto a incompetenza è un unicum nel mondo del calcio. Forse solo il Manchester United è al nostro livello di schifo.","1893654008830607541","","","it","","0","0","0","https://x.com/Orochi0487/status/1893654008830607541","2858715791","Orochi0487"
"1893652565293748652","Sun Feb 23 13:22:08 +0000 2025","3","Manchester United Za Ta Rage Ma aikata https://t.co/LhaA6LcU0x","1893652565293748652","","","it","Abuja, Nigeria","0","0","0","https://x.com/LeadershipHausa/status/1893652565293748652","882484292","LeadershipHausa"
"1893652390101791022","Sun Feb 23 13:21:26 +0000 2025","30","Diao classico giocatore che il Manchester United paga 75 milioni a Giugno","1893652390101791022","","","it","","0","0","3","https://x.com/BottDontLie/status/1893652390101791022","3236554781","BottDontLie"
"1893635544535482639","Sun Feb 23 12:14:30 +0000 2025","0","Alex Ferguson Manchester United Guardiola Manchester City","1893635544535482639","","","it","","0","0","0","https://x.com/KarapinarTolga/status/1893635544535482639","2615213846","KarapinarTolga"
"1893610675601047915","Sun Feb 23 11:27:26 +0000 2025","0","@The254news Manchester united na intermiami","1893623700370362552","","The254news","it","Mutuati, Kenya","0","0","0","https://x.com/jahandrey7th/status/1893623700370362552","1751115885912190976","jahandrey7th"
"1893618128782815665","Sun Feb 23 11:05:18 +0000 2025","0","Siamo il Manchester United italiano mettetevi il cuore in pace","1893618128782815665","","","it","Milano, Lombardia","0","1","0","https://x.com/ILSERAFO/status/1893618128782815665","1083304457092382720","ILSERAFO"
"1893589885153419358","Sun Feb 23 10:49:48 +0000 2025","1","@ElboAcMilan rischiare di scendere no ma non mi stupirei di vedere il milan stabilmente nelle stesse posizioni del manchester united attuale","1893614226989629822","","ElboAcMilan","it","Bagdad, Iraq","0","0","0","https://x.com/CiauEngioier/status/1893614226989629822","1783434166895353856","CiauEngioier"
"1893594039984767393","Sun Feb 23 09:52:37 +0000 2025","8","@JulzOa @stevecounz prima la malattia era maldini mandato via ed è peggiorato tutto poi la malattia era pioli mandato via ed è peggiorato tutto ora la malattia sono theo leao e maignan ben vengano annate stile manchester united","1893599838962409856","","JulzOa","it","Bagdad, Iraq","2","0","4","https://x.com/CiauEngioier/status/1893599838962409856","1783434166895353856","CiauEngioier"
"1893598380539982292","Sun Feb 23 09:46:49 +0000 2025","6","Siamo diventati il Manchester United italiano.","1893598380539982292","","","it","","0","6","1","https://x.com/Turinquarto/status/1893598380539982292","1858982397552857088","Turinquarto"
"1893377242983469237","Sun Feb 23 09:20:24 +0000 2025","0","@stevecounz siete letteralmente il manchester united d italia","1893591728709312900","","stevecounz","it","","0","0","0","https://x.com/megadiret/status/1893591728709312900","1774445295838834688","megadiret"
"1893579639882223730","Sun Feb 23 08:35:14 +0000 2025","2","@Emiliangiolo Si fanno gite interessanti in graziosi paesi d'Europa per trovarsi a sfidare il Manchester United in finale.","1893580364947275841","","Emiliangiolo","it","Primo in classifica","0","2","0","https://x.com/interfcrozzano/status/1893580364947275841","784921032","interfcrozzano"
"1893286570192453643","Sun Feb 23 08:20:08 +0000 2025","1","@Marckay04 @JezzaUtd Manchester United oga.","1893576564773621873","","Marckay04","it","In God's Heart","0","0","0","https://x.com/Kayclown/status/1893576564773621873","217030805","Kayclown"
"1893569446964289897","Sun Feb 23 07:59:31 +0000 2025","1","@OfficialPhiwah Ingcono ngisho Chelsea bafo kunezami Manchester united https://t.co/Wf9H69spde","1893571377438900563","https://pbs.twimg.com/media/GkdRIbNWgAADkfb.jpg","OfficialPhiwah","it","South Africa","0","1","0","https://x.com/Wandi_SA/status/1893571377438900563","627782313","Wandi_SA"
"1892649073095635143","Sat Feb 22 17:57:29 +0000 2025","1","@Erfaina1988 Per raggiungere la finale di Bilbao la Roma dovrà affrontare: Bilbao. Mourinho. Manchester United. Percorso da Champions League mentre dall'altra parte giocano la Conference League. https://t.co/ljCsUDqcTg","1893359469557342358","https://pbs.twimg.com/media/GkaQZqMXsAA7k1c.jpg","Erfaina1988","it","","0","0","0","https://x.com/StucchiPepy68/status/1893359469557342358","766166996","StucchiPepy68"
"1893359320428937370","Sat Feb 22 17:57:01 +0000 2025","0","6e Paul Pogba - Manchester United - 105 millions https://t.co/PRQmKv0YFm","1893359353316397424","https://pbs.twimg.com/media/GkaQTHWWUAAIjhO.jpg","nahil231","it","","0","1","0","https://x.com/nahil231/status/1893359353316397424","1713804396151046144","nahil231"
"1893353392031814117","Sat Feb 22 17:50:22 +0000 2025","1","@acmilan Grazie Pulisic. Ora fai sembrare il nostro club come il Manchester United.","1893357680867029222","","acmilan","it","","0","0","0","https://x.com/SpongenoobG/status/1893357680867029222","1543897117172940800","SpongenoobG"
"1893294247459123317","Sat Feb 22 17:39:55 +0000 2025","0","@giampdisan @EdoardoMecca1 Quindi saresti contento se facessimo la fine del Manchester United? Beh juventino di ferro.","1893355048551256188","","giampdisan","it","Italia","0","0","0","https://x.com/1c25dbfb95c9456/status/1893355048551256188","3135394546","1c25dbfb95c9456"
"1893354533411078356","Sat Feb 22 17:37:52 +0000 2025","0","Manchester United interessato a maignan Dirigenza conquistata dalle capacità di fare una cagata dietro l altra da parte del francese garantendo continuità alle prestazioni di onana dovesse partire a fine stagione","1893354533411078356","","","it","Panchina","0","0","0","https://x.com/UTD_Ayatollah/status/1893354533411078356","1827294772085592064","UTD_Ayatollah"
"1893347827155181729","Sat Feb 22 17:29:00 +0000 2025","4","@elle2039 Io ricordo solo che il me di 10 anni quando avevamo comprato VIDIC dal MANCHESTER UNITED era gasatissimo","1893352304209731630","","elle2039","it","Milano, Lombardia","0","0","0","https://x.com/gasa7oe7orna7o/status/1893352304209731630","1860339452230385664","gasa7oe7orna7o"
"1893239799156290018","Sat Feb 22 17:08:47 +0000 2025","0","@10InfoBlaugrana @fichajesnet 100 millones por Araujo JKsjsksksksksjsksjsjsjsjsjsjsjsjsjsj el mercado y los precios de ahora son una mierda el PSG tiene la culpa y el Manchester United está manejado por muchos mogolicos","1893347216292540657","","10InfoBlaugrana","it","","0","0","0","https://x.com/SamuelRang87793/status/1893347216292540657","1642201302305320960","SamuelRang87793"
"1893346806076981628","Sat Feb 22 17:07:09 +0000 2025","5","Quello che ha fatto (non fatto in realtà) la dirigenza dell Arsenal a gennaio è criminale. Società perdente nel DNA come nessuna in Europa. Speriamo torni presto il Manchester United vera nobile. #PremierLeague","1893346806076981628","","","it","Italia","0","3","0","https://x.com/numeroset7e/status/1893346806076981628","1695104521666445312","numeroset7e"
"1893296688250392869","Sat Feb 22 17:06:02 +0000 2025","1","@VaneJuice Hanno tagliato i fondi per il programma dei clown nei reparti pediatrici. Trasmetteranno H24 di highlights delle partite del Manchester United per fare sorridere i bambini malati","1893346522919543234","","VaneJuice","it","","0","0","0","https://x.com/Paolo_2223/status/1893346522919543234","1690340585507348480","Paolo_2223"
"1893294247459123317","Sat Feb 22 17:02:40 +0000 2025","53","@giampdisan Preferisco puntare il modello Arsenal piuttosto che diventare il Manchester United d Italia.","1893345674600628497","","giampdisan","it","Milano, Lombardia","0","15","0","https://x.com/EdoardoMecca1/status/1893345674600628497","945645446","EdoardoMecca1"
"1892666490026860897","Sat Feb 22 16:45:02 +0000 2025","0","@juanito92x Tolte le finali per me la top five del rosicometro è Real Bayern Manchester United 1999 Porto Ajax","1893341240428462531","","juanito92x","it","","0","1","0","https://x.com/giuseppe_carrus/status/1893341240428462531","755704794","giuseppe_carrus"
"1892860168691470718","Sat Feb 22 16:24:01 +0000 2025","0","@it_Rutie Davido Cristiano Manchester united","1893335950450663449","","it_Rutie","it","","0","0","0","https://x.com/LautaroCha54635/status/1893335950450663449","1713632027453345792","LautaroCha54635"
"1893333470228648302","Sat Feb 22 16:14:10 +0000 2025","1","Il mio pensiero è quello di #moyes non fa una piega un punto con il Manchester United un mese orsono sarebbe stato oro ora c'è rammarico la politica dei piccoli passi ma anche la consapevolezza adesso di poter fare male a chiunque. #EVEMUN. #coyb.","1893333470228648302","","","it","","0","0","0","https://x.com/deatoffees/status/1893333470228648302","703192063513403392","deatoffees"
"1892963702917202203","Sat Feb 22 16:12:43 +0000 2025","0","@XaviSol_ Madrid vs Bayern Lazio vs Manchester","1893333104409944186","","XaviSol_","it","","0","0","0","https://x.com/NewtonUnited99/status/1893333104409944186","1452653762376519692","NewtonUnited99"
"1893321851595608065","Sat Feb 22 15:28:00 +0000 2025","1","Zirkzee a Bologna Zirkzee al Manchester United Minuti giocati: 2942 Minuti giocati: 1124 Goal : 12 Assist: 7 Goal: 5 Assist: 2 1 g/a ogni 154 min. 1 g/a ogni 160 min. Il rendimento non è calato. https://t.co/lMLYpeet54","1893321851595608065","https://pbs.twimg.com/media/GkZpHNNXwAAALNi.png","","it","","0","0","1","https://x.com/GiancarloMazz18/status/1893321851595608065","1546950472933703680","GiancarloMazz18"
"1893313011793715404","Sat Feb 22 15:19:50 +0000 2025","1","@George_Ambangil Bruno anaipenda sana sana sana Manchester united sema basi tu","1893319795799392564","","George_Ambangil","it","Dodoma, Tanzania","0","0","0","https://x.com/Chuzo___/status/1893319795799392564","1548056087441448963","Chuzo___"
"1893310804625076311","Sat Feb 22 15:12:38 +0000 2025","4","@giuventinismo Se dovessimo cambiare allenatore prepariamoci ad essere messi come il Manchester United. Senza la disponibilità di cassa del Manchester United. Serve continuità di progetto","1893317985961402736","","giuventinismo","it","","0","3","0","https://x.com/belbag1/status/1893317985961402736","1136426493385592832","belbag1"
"1893315465188872657","Sat Feb 22 15:02:37 +0000 2025","9","Bruno. https://t.co/m7jzGbXvWf","1893315465188872657","https://pbs.twimg.com/media/GkZoYFeW8AAJRju.jpg","","it","Old Trafford","0","0","0","https://x.com/DevilsTurkiye/status/1893315465188872657","1542186857999618048","DevilsTurkiye"
"1893273423071092799","Sat Feb 22 14:58:23 +0000 2025","5","@Viridia21191369 @Massimo7313 @FabioLisci @pablito551905 @PaulLamanski @CaprettoPaul @niun68 @pattanna66 @nuvolacristallo Che c'è di bello a Manchester? A parte lo United e il City??","1893314401039470617","","Viridia21191369","it","Sud Sardegna❤️","0","2","0","https://x.com/frasianonimeper/status/1893314401039470617","1300327642722455553","frasianonimeper"
"1893310162481373295","Sat Feb 22 14:41:33 +0000 2025","0","Nna Manchester United haikhona.","1893310162481373295","","","it","","0","0","0","https://x.com/Dowsky26/status/1893310162481373295","1146026526","Dowsky26"
"1893310022395871494","Sat Feb 22 14:40:59 +0000 2025","0","Nel pomeriggio di Goodison Park Everton e Manchester United si dividono la posta in palio: rammarico per i Toffees che conducevano 2-0 gioia per i Red Devils che riprendono una partita che sembrava persa https://t.co/rhuPvUSzP3 https://t.co/rhuPvUSzP3","1893310022395871494","","","it","Italia","0","0","0","https://x.com/ukcalcio/status/1893310022395871494","245974414","ukcalcio"
"1893309453530783795","Sat Feb 22 14:38:44 +0000 2025","7","immagina non vincere contro il Manchester United @moyes https://t.co/uLzwI03K1i","1893309453530783795","https://pbs.twimg.com/media/GkZi6aJXoAEaymT.jpg","","it","(As) Roma (Merda)","0","0","0","https://x.com/FedericoDav_SSL/status/1893309453530783795","1280993188686282752","FedericoDav_SSL"
"1893309126731510146","Sat Feb 22 14:37:26 +0000 2025","0","EPL FT : Everton 2-2 Manchester United Beto 19' Doucouré 33' - Bruno 72' Ugarte 80' @Radioshimafm https://t.co/GkELrxABnm","1893309126731510146","https://pbs.twimg.com/media/GkZimjPbUAAcj0S.jpg","","it","Burundi ","0","0","0","https://x.com/BaranderekaFra1/status/1893309126731510146","1174360238998327296","BaranderekaFra1"
"1893308963430539680","Sat Feb 22 14:36:47 +0000 2025","43","#PremierLeague FT : Everton 2-2 Manchester United Beto 19' Doucouré 33' - Bruno 72' Ugarte 80' #SimplySports https://t.co/7fnsaYJBOV","1893308963430539680","https://pbs.twimg.com/media/GkZid37WoAA4Dsa.jpg","","it","Nyarutarama KIGALI","0","0","1","https://x.com/bbkigalifm/status/1893308963430539680","1314578849292865537","bbkigalifm"
"1893308616913859046","Sat Feb 22 14:35:24 +0000 2025","4","FT Everton 2-2 Manchester United ️ Bruno Fernandes &amp; Manuel Ugarte #mufc","1893308616913859046","","","it","","0","0","0","https://x.com/RedReveal/status/1893308616913859046","3013468463","RedReveal"
"1893308398143218118","Sat Feb 22 14:34:32 +0000 2025","1","Ho sbagliato solo il pronostico su Everton-Manchester United https://t.co/LY5inUp2Ak","1893308398143218118","","","it","Londra","0","0","0","https://x.com/jack_omalley/status/1893308398143218118","239928313","jack_omalley"
"1893306740642357710","Sat Feb 22 14:27:57 +0000 2025","0","o Manchester United é FASCINANTE","1893306740642357710","","","it","Bernô City","0","1","0","https://x.com/fabiotb/status/1893306740642357710","25783384","fabiotb"
"1893308151807594661","Sat Feb 22 14:33:34 +0000 2025","0","Questo era il Manchester United nella finale di Champions del 2008. Sì sono passati 17 anni quasi ma questi furono i 14 mostri in campo quella sera in cui John Terry scivolò sul dischetto del calcio di rigore. Hargreaves e questo Brown non me li ricordavo sono sincero. https://t.co/CrkOvZRL2A","1893308151807594661","https://pbs.twimg.com/media/GkZhuxMXsAAcHix.jpg","","it","Roccabascerana, Campania","1","1","0","https://x.com/gaetano_barbati/status/1893308151807594661","1204850273170206722","gaetano_barbati"
"1893306303226724418","Sat Feb 22 14:26:13 +0000 2025","0","La formazione del Manchester United 3-4-2-1 un pacco dal Bologna uno da Gasperini un bidone da Marotta un bidone da Perez un bidone universalmente notorio come De Ligt. Questo è lo schifo lo squallore senza vergogna che è oggi il Manchester United. Mi viene da vomitare. https://t.co/2I6bYOhF64","1893306303226724418","https://pbs.twimg.com/media/GkZgDHuXEAA_oRT.jpg","","it","Roccabascerana, Campania","1","0","0","https://x.com/gaetano_barbati/status/1893306303226724418","1204850273170206722","gaetano_barbati"
"1893305834928590916","Sat Feb 22 14:24:21 +0000 2025","7","Il fatto che il Manchester United abbia più tifosi nel mondo di noi e addirittura del Real è inspiegabile.","1893305834928590916","","","it","","0","2","0","https://x.com/Rosso3Nero/status/1893305834928590916","1539316615853985792","Rosso3Nero"
"1893305224929980524","Sat Feb 22 14:21:56 +0000 2025","0","Premier League * Leicester City - Brentford: 0-4 * Aston Villa - Liverpool: 2-2 * Tottenham - Manchester United: 1-0 Serie A * Fiorentina - Como: 0-2 * Monza - Lecce: 0-0 * Udinese - Empoli: 3-0 * Parma - Roma: 0-1 * Juventus - Inter: 1-0 Cosa ne pensate?","1893305224929980524","","","it","Taranto, Puglia","0","0","0","https://x.com/Newsdelpallone/status/1893305224929980524","1872220283618340864","Newsdelpallone"
"1893304057239867680","Sat Feb 22 14:17:17 +0000 2025","15","Kwani Manchester united fans hamuongei?","1893304057239867680","","","it","111","0","1","6","https://x.com/l_ng240/status/1893304057239867680","1516057277681254403","l_ng240"
"1893303675533083081","Sat Feb 22 14:15:46 +0000 2025","0","O MANCHESTER UNITED É GIGANTE","1893303675533083081","","","it","Belo Horizonte","0","0","0","https://x.com/srgucec_/status/1893303675533083081","1380240007","srgucec_"
"1893303666351726816","Sat Feb 22 14:15:44 +0000 2025","0","GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOL É DO MANCHESTER UNITED! Everton 2 x 2 Manchester United #EVEMUN #PremierLeague https://t.co/X7k9ZbUutM","1893303666351726816","https://pbs.twimg.com/media/GkZdhwbWYAA4jFp.png","","it","Minas Gerais, Brasil","0","0","0","https://x.com/maycom1981/status/1893303666351726816","2573623507","maycom1981"
"1893303597481308536","Sat Feb 22 14:15:28 +0000 2025","0","Empate do Manchester United e rumo a virada haha","1893303597481308536","","","it","Goiás, Brasil","0","0","0","https://x.com/Leopoldo07F/status/1893303597481308536","168855671","Leopoldo07F"
"1893303208740548919","Sat Feb 22 14:13:55 +0000 2025","2","80' - O Manchester United empata. 2-2 #EVEMUN","1893303208740548919","","","it","","1","0","0","https://x.com/Everton_PT/status/1893303208740548919","1302890415557877765","Everton_PT"
"1893301505219838297","Sat Feb 22 14:07:09 +0000 2025","0","GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOL É DO MANCHESTER UNITED! Everton 2 x 1 Manchester United #EVEMUN #PremierLeague https://t.co/ejKtdUhDN3","1893301505219838297","https://pbs.twimg.com/media/GkZbkLsXgAASyAX.png","","it","Minas Gerais, Brasil","0","0","0","https://x.com/maycom1981/status/1893301505219838297","2573623507","maycom1981"
"1893301285509615900","Sat Feb 22 14:06:16 +0000 2025","34","Gasperini sarebbe l inizio della nostra trasformazione totale in manchester united d italia. Ma in generale se la Juve bruciasse il miglior allenatore della scorsa serie a in una stagione fatico a vedere uno che non sia Pep Guardiola che possa resistere a questa squadra","1893301285509615900","","","it","","0","8","1","https://x.com/gabryhz/status/1893301285509615900","1212663725963956225","gabryhz"
"1893299924260860328","Sat Feb 22 14:00:52 +0000 2025","1","Manchester united la barzelletta del campionato inglese si prospetta un'altra sconfitta sta perdendo 2-0 con Everton","1893299924260860328","","","it","","0","0","0","https://x.com/PolverinoVince3/status/1893299924260860328","936928256330051584","PolverinoVince3"
"1893299216186818621","Sat Feb 22 13:58:03 +0000 2025","1","Non deve essere facile per Walker che è passato dal Manchester City allo United","1893299216186818621","","","it","Bergamo, Italy","0","0","0","https://x.com/ariolsz/status/1893299216186818621","999163467843108864","ariolsz"
"1893299182540108119","Sat Feb 22 13:57:55 +0000 2025","2","Il Manchester United è una comica","1893299182540108119","","","it","Siena, Toscana","1","1","0","https://x.com/ValeStruffi87/status/1893299182540108119","1965309420","ValeStruffi87"
